,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOP10,2.8980441647057664,3.6637925336195463,1.5104299591064578,2.4256619855362094,0.01528049482944201,0.8848987717149318
TSGA10,62.49849656438668,-0.652189529161977,0.2688433542972296,-2.4259090609356297,0.015270096090863484,0.8848987717149318
TSHZ3,3.858889714892944,1.9806283417307917,0.8435206840604307,2.3480495252312004,0.01887201181187317,0.8848987717149318
PTPRT,661.7354991497106,-0.9363619850533708,0.3679517734414867,-2.544795412440851,0.010934178015092305,0.8848987717149318
TSIX,7.52876051436692,2.092302701343178,0.9046127851284784,2.312926299229804,0.02072669159556607,0.8848987717149318
UTP4,5.858537210235017,1.4525235661085987,0.6121070790178118,2.3729893280099303,0.017644773730466395,0.8848987717149318
NRIP1,120.20832091854764,-0.7431725978676206,0.3294272472363293,-2.255953641061368,0.024073534603352365,0.8848987717149318
AC016205.1,5.6266191396726475,1.8736595212325995,0.8270935057511822,2.2653539269794,0.0234909692342054,0.8848987717149318
GPD1L,149.4863292286874,-0.7425131090468999,0.3266447289142955,-2.2731519700773104,0.02301702352142338,0.8848987717149318
CCT3,34.071617951686065,1.2286022195582476,0.513810590411697,2.3911578361470034,0.016795330839641423,0.8848987717149318
CCT4,24.89229896739102,1.134179224764293,0.47857486732514065,2.36990970943265,0.017792429708369882,0.8848987717149318
CCNYL1,36.86482272101772,0.8576063273429081,0.3609688295656888,2.3758459376527457,0.01750877147937145,0.8848987717149318
CDC26,6.610572788045232,1.659719284989742,0.69710937256877,2.3808592314199735,0.017272310918543404,0.8848987717149318
